English Language Name	Alternate Language Name	ISO code	ROD code	Variant code	URL	Country(ies)	NT PDF count	NT Audio count	NT Partial PDF count	NT Partial Audio count	NT PDF Whole count	NT Audio Whole count	OT PDF count	OT Audio count	OT Partial PDF count	OT Partial Audio count	OT PDF Whole count	OT Audio Whole count	Bible PDF count	Bible Audio count	Scriture App Builder HTML (SE)	Online Viewer (SE)	Google Play (Android app) (SE)	Android App (SE version)	Buy	BibleIs	YouVersion	GRN	eBible	GoBible (SE)	MySword (Android) (SE)	Playlist Audio (SE)	Jesus Film	Luke Vidoe	John Video	Acts Video	Genesis Video	God's Story Video	The Good Samaritan Video	Magdalena Video	John Animation Video (SE)	Scripture Animation Video (SE)	The Last Day Video	Story of Jesus for Children Video	History	5fish	iTunes	One Story	Bibles for India	Bibles for Russia	Maps	
Rendille	Randile, Rendile	rel			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=rel	Kenya															1					 - Rendille 2018 Edition: https://live.bible.is/bible/RELBTL/	Wori Haaggane Yeesso Kiriisto Miinsan Ayyinti H: https://www.bible.com/bible/2277/MAT.1	https://www.globalrecordings.net/en/language/rel																							language map: https://joshuaproject.net/languages/rel	
Rennell-Bellona	Munggava, Mungiki, Bellona, Bellonese, Mugaba, Mugiki, Rennell, Rennellese, Rennellese-Bellonese, Te hegeunga a Mugaba ma Mugiki	mnv			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=mnv	Solomon Islands															1						Te Gongo Gaoi (MNVTGG): https://www.bible.com/en-GB/bible/2524/MAT.1	https://www.globalrecordings.net/en/language/mnv																							language map: https://joshuaproject.net/languages/mnv	
Reshe	Cirami, Tsupalame, Bapalame, Birami, Eastern Reshe, Western Reshe, Bareshe, Gunga, Gunganchi, Gunganci, Gungawa, Tsureja, Tsureshe, Yaurawa	res			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=res	Nigeria															1																														language map: https://joshuaproject.net/languages/res	
Rigwe	Irigwe, Aregwe, Idafan, Iregwe, Kwal, Kwan, Kwoll, Miango, Miyango, Nnerigwe, Nyango, Aregwe, Idafan, Iregwe, Kwal, Kwan, Kwoll, Miango, Miyango, Nkarigwe, Nnerigwe, Nyango, Yirigwe	iri			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=iri	Nigeria			unknown						unknown						1		https://play.google.com/store/apps/details?id=org.wycliffe.iri.rigwe			https://live.bible.is/bible/IRIWYI/Mat/1	ꞌJee Hwi na Krre̱de̱ Be̱ne̱ a zhi Rigwe (IRINT): https://www.bible.com/bible/1832/MAT.1 ## https://www.bible.com/bible/350/MAT.1	https://globalrecordings.net/en/language/266			https://www.scriptureearth.org/data/iri/study/iri.bbl.mybible		https://www.scriptureearth.org/data/iri/video/JESUSFilm-iri.txt																		language map: https://joshuaproject.net/languages/iri	
Rikbaktsa	Aripaktsa, Erikbatsa, Erikpatsa, Canoeiro, Aripaktsá, Canoeiro, Erigbaagtsá, Erigpactsá, Erigpaktsá, Erikbaktsá, Erikbatsá, Erikpatsá, Orelhas de Pau, Rikpakcá, Rikpaktsá	rkb			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=rkb	Brazil	27				1										1	1	https://play.google.com/store/apps/details?id=org.scriptureearth.rkb.nt.apk		New Testament: https://virtualstorehouse.org/products/rikbaktsa-nt-rkb		https://www.bible.com/bible/669/MAT.1	https://www.globalrecordings.net/en/language/rkb	1		https://www.scriptureearth.org/data/rkb/study/rkb.bbl.mybible																				languages of Brazil: http://g.co/maps/wnaup	
Rinconada Bikol	Bikol, Rinconada, Iriga Bicolano, Rinconada Bicolano	bto			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=bto	Philippines															1					 - 2016 Translators Association of the Philippines: https://live.bible.is/bible/BTOTAP/																									language map: https://joshuaproject.net/languages/bto	
Roglai, Northern	Adlai, La-Oang, Noang, Ra-Glai, Radlai, Rang Glai, Rayglay	rog			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=rog	Vietnam															1																														language map: https://joshuaproject.net/languages/rog	
Rohingya	Rohinja, Ruwainggya, Rohinga, Ruwainggya	rhg			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=rhg	Bangladesh, Myanmar															1							https://www.globalrecordings.net/en/language/rhg					https://www.scriptureearth.org/data/rhg/video/JESUSFilm-rhg.txt					https://www.scriptureearth.org/data/rhg/video/GodsStory-rhg.txt													language map: https://joshuaproject.net/languages/rhg	
Romani, Balkan	Arli, Drindari, Dzambazi, East Bulgarian Romani, Greek Romani, Ironworker Romani, Khorakhani, Paspatian, Pazardžik Kalajdži, Tinners Romani, Chalgijis, Erli, Kitajis, Sofia Erli, Gypsy, Pyrgos, Romancilikanes, Sepečides Romani, Serres, Arlije, Sepeči, Romano, Zargari Romani, Romani ćhib, Ursári, Usari, Bugurdži Romani, Prilep, Arabadži, Kovački, Rabadži, Prizren, Kosovan Arli, Kosovan Romani, Roma, Romani, Rumelian Romani, Crimean Romani, Kyrymitika Roma	rmn			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=rmn	Bulgaria, France, Germany, Greece, Hungary, Iran, Italy, Macedonia, Moldova, Romania, Serbia, Turkey, Ukraine															1						O dživdipe thaj buti e Isus Hristoski (SROM): https://www.bible.com/bible/1560/MAT.1 ## E devléskoro sfjato lil e Ísus-Xristóskoro... (ARL1912): https://www.bible.com/bible/1651/MAT.1 ## O Devlikano lil e Sumnale Lukahtar 1936 (GURB1936): https://www.bible.com/bible/1652/MAT.1	https://www.globalrecordings.net/en/language/rmn					https://www.scriptureearth.org/data/rmn/video/JESUSFilm-rmn.txt							https://www.scriptureearth.org/data/rmn/video/Magdalena-rmn.txt											language map: https://joshuaproject.net/languages/rmn	
Romani, Baltic	White Russian Romani, Balt Romani, Balt Slavic Romani, Baltic Slavic Romani, Estonian Romani, Lotfitko Romani, Čuxny Romani, Lithuanian Romani, Polish Romani, Polska Roma, Latvian Romani, North Russian Romani, Lettish Romani, Lotfitko Romani cib, Lotfítka Romá, Xaladytko, Xaladitka, Xaladytka, Roma, Romani, Rúska Romá	rml			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=rml	Latvia, Lithuania, Poland, Ukraine															1				Bible: https://www.zakbijbelbond.nl/en/latvian-bibles/	https://live.bible.is/bible/RMLNEW/mat/1	https://www.bible.com/bible/1658/MAT.1	https://www.globalrecordings.net/en/language/rml																								
