English Language Name	Alternate Language Name	iso	rod	var	URL	Country(ies)	NT PDF count	NT Audio count	NT Partial PDF count	NT Partial Audio count	NT PDF Whole count	NT Audio Whole count	OT PDF count	OT Audio count	OT Partial PDF count	OT Partial Audio count	OT PDF Whole count	OT Audio Whole count	Bible PDF count	Bible Audio count	Scripture App Builder HTML (SE)	Online Viewer (SE)	Google Play (Android app) (SE)	Android App (SE version)	Buy	BibleIs	YouVersion	GRN	eBible	GoBible (SE)	MySword (Android) (SE)	Playlist Audio (SE)	Jesus Film	Luke Vidoe	John Video	Acts Video	Genesis Video	God's Story Video	The Good Samaritan Video	Magdalena Video	John Animation Video (SE)	Scripture Animation Video (SE)	The Last Day Video	Story of Jesus for Children Video	History	5fish	iTunes	One Story	Bibles for India	Bibles for Russia	Maps	
Tsamakko	Tsamai, Bago S'aamakk-Ulo, Bago Ts'amakkilo, Cule, Kuile, Kule, S'amai, Tamaha, Ts'amay, Tsamako, Tsemay	tsb			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=tsb	Ethiopia																											https://www.scriptureearth.org/data/tsb/video/JESUSFilm-tsb.txt																		language map: https://joshuaproject.net/languages/tsb	
Tsez	Dido, Cez, Didoi, Tsezy, Tsuntin, Sahada, Cez, Didoi, Tsezy, Tsuntin	ddo			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=ddo	Georgia, Russia																						https://www.globalrecordings.net/en/language/ddo																						https://ibt.org.ru/en/media?id=TSZ		
Tshiluba	Luba-Kasai, Lulua, Luluwa, West Luba, Bena-Lulua, Ciluba, Luba-Lulua, Luva, Western Luba	lua			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=lua	Democratic Republic of the Congo																			Bible: https://www.zakbijbelbond.nl/en/luba-kasai-bibles/	https://live.bible.is/bible/LUBL96	MUKANDA WA MYIDI MUKULU (TSH96): https://www.bible.com/en-GB/bible/2918/MAT.1 ## Mukanda wa Nzambi Dihungila Dikulukulu ne Dihungila Dihia-dihia 2003 (TSH): https://www.bible.com/en-GB/bible/2919/MAT.1	https://www.globalrecordings.net/en/language/lua					https://www.scriptureearth.org/data/lua/video/JESUSFilm-lua.txt							https://www.scriptureearth.org/data/lua/video/Magdalena-lua.txt											language map: https://joshuaproject.net/languages/lua	
Tsikimba	Agaushi, Akimba, Auna, Kambari, Kamberchi, Kamberri, Kimba, Agaunshe, Ashen	kdl			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=kdl	Nigeria															1		https://play.google.com/store/apps/details?id=org.wycliffe.kdl.tsikimba.bible				https://www.bible.com/bible/426/MAT.1	https://globalrecordings.net/en/language/2075	1		https://www.scriptureearth.org/data/kdl/study/kdl.bbl.mybible		https://www.scriptureearth.org/data/kdl/video/JESUSFilm-kdl.txt																		language map: https://joshuaproject.net/languages/kdl	
Tsimihety	Malagasy, Tsimihety	xmw			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=xmw	Madagascar																											https://www.scriptureearth.org/data/xmw/video/JESUSFilm-xmw.txt																		language map: https://joshuaproject.net/languages/xmw	
Tsishingini	Ashingini, Kambari, Kamberchi, Kamberri, Salka, Ibeto, Cishingini	tsw			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=tsw	Nigeria															1		https://play.google.com/store/apps/details?id=org.wycliffe.tsw.tsishingini.bible				https://www.bible.com/bible/429/MAT.1	https://globalrecordings.net/en/langcode/tsw	1		https://www.scriptureearth.org/data/tsw/study/tsw.bbl.mybible		https://www.scriptureearth.org/data/tsw/video/JESUSFilm-tsw.txt																		language map: https://joshuaproject.net/languages/tsw	
Tskhur	Caxur, Sakhur, Ts'axna Miz, Tsakhury, Tsaxur, Yedna Miz,, Yikbi, Yiqny Miz, Cinix, Kalyal Muxax, Mishlesh, Muslax, Subunchi, Suvagil, Tsakhur, C'aiχna miz, Sakhur, Saxur dili, Ts'axna miz, Ts‘əxna miz, Tsakhna Miz, Tsakhury, Tsaxur, Yıqbışda miz, Yedna Miz, Yikbi, Yiksum, Yiqny Miz, Yiqsum, cʼäxna miz, Gelmets-Mikik, Tsakh, Gelmets, Gelmets-kurdul, Jinagh, Kirmico-Lek, Mikik, Mishkesh, Mukhakh-Sabunchi, Muslakh, Tsakh-Qum, Ts'axna Miz, Ts'axurskii yazyk	tkr			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=tkr	Azerbaijan, Russia																				- IBT Version: https://live.bible.is/bible/TKRIBT	Tsakhur: https://www.bible.com/en-GB/bible/2752/MAT.1	https://www.globalrecordings.net/en/language/tkr																						https://ibt.org.ru/en/media?id=TSK ## https://ibt.org.ru/en/text?m=TSK&l=Prov&g=0		
Tsogo	Getsogo, Ghetsogo, Mitsogo	tsv			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=tsv	Gabon																				- 1983 Bible Society of Gabon: https://live.bible.is/bible/TSVBSG							https://www.scriptureearth.org/data/tsv/video/JESUSFilm-tsv.txt							https://www.scriptureearth.org/data/tsv/video/Magdalena-tsv.txt											language map: https://joshuaproject.net/languages/tsv	
Tsou	Iimucu, Luhtu, Tapangu, Tfuya, Duhtu, Iimutsu, Tfuea, Cou, Namakaban, Niitaka, Tibola, Tibolah, Tibolak, Tibolal, Tso, Tsoo, Tsu-U, Tsu-Wo, Tsuou, Tzo	tsu			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=tsu	Taiwan																					buacou seiso no faeva esvʉtʉ (BSNFE): https://www.bible.com/en-GB/bible/2362/MAT.1	https://www.globalrecordings.net/en/language/tsu																							language map: https://joshuaproject.net/languages/tsu	
Tsuvadi	Kakihum, Tsuvadi-Agadi, Tsuvadi-Azozolo, Abadi, Avadi, Evadi, Ibeto, Kamberi	tvd			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=tvd	Nigeria																											https://www.scriptureearth.org/data/tvd/video/JESUSFilm-tvd.txt																		language map: https://joshuaproject.net/languages/tvd	
