English Language Name	Alternate Language Name	ISO code	ROD code	Variant code	URL	Country(ies)	NT PDF count	NT Audio count	NT Partial PDF count	NT Partial Audio count	NT PDF Whole count	NT Audio Whole count	OT PDF count	OT Audio count	OT Partial PDF count	OT Partial Audio count	OT PDF Whole count	OT Audio Whole count	Bible PDF count	Bible Audio count	Scriture App Builder HTML	Google Play (Android app)	Android App (SE version)	Buy	BibleIs	YouVersion	Bibles.org	GRN	GoBible	MySword (Android)	Playlist Audio	Jesus Film (SE and YouTube)	Luke Vidoe	John Video	Acts Video	Genesis Video	God's Story Video	The Good Samaritan Video	Magdalena Video	John Animation Video	Scripture Animation Video	The Last Day Video	Jesus/Children Video	History	5fish	iTunes	Maps	
Naga, Sumi	Dayang, Lazemi, Zhimomi, Zumomi, Western Sumi, Sema, Simi, Sumi, Sümi	nsm			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=nsm	India															1					Bible.com (YouVersion) BAIBEL - BSI (SUMI-BSI): https://www.bible.com/bible/1877/MAT.1																						
Naga, Tangkhul	Khangoi, Khunggoi, Kupome, Phadang, Ukhrul, Luhupa, Champhung, Luppa, Tagkhul, Tangkhul, Thangkhulm	nmf			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=nmf	India															1																											
Naga, Wancho	Bor Muthun, Changnoi, Horu Muthun, Kulung Muthun, Bor Mutonia, Mithan, Banpara Naga, Joboka, Jokoba, Naga Wancho, Wancho	nnp			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=nnp	India															1																											
Naga, Yimchungru	Chirr, Minir, Pherrongre, Tikhir, Wai, Yimchungru, Tozhuma, Yachumi, Yanchunger, Yimchunger, Yimchungre, Yimchungrü	yim			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=yim	India															1																											
Naga, Zeme	Njauna, Paren, Arung, Empeo, Empui, Jeme, Kacha, Kachcha, Kachcha Naga, Kutcha, Mezama, Sangrima, Sengima, Zeliang, Zeliangrong, Zeme, Zemi	nzm			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=nzm	India															1																											
Nagamese	Naga Pidgin, Bodo, Kachari Bengali, Naga Creole Assamese, Naga-Assamese, Nagamiz	nag			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=nag	India			100						100						1											https://www.scriptureearth.org/data/nag/video/JESUSFilm-nag.txt																
Nago	Nago, Southern, Ede Nago, Nagot, Nagots	nqg			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=nqg	Benin															1																											
Náhuatl, Guerrero	Náhuatl (Nauatl; Azteca) de Guerrero Central, Mexicano (Mejicano) de Guerrero Central, Nahuatl, Guerrero, Guerrero Aztec, Mexicano de Guerrero, Xalitla Nahuatl	ngu			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=ngu	Mexico	27		100		1		5	187	100	187					1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.wycliffe.nahuatlguerrero.ngu	https://www.scriptureearth.org/data/ngu/study/nguNT_Nahuatl_Guerrero3gp-5.4.apk: ((Texto de 55 libros de la Biblia y audio para 32 libros 303MB)) ## https://www.scriptureearth.org/data/ngu/study/nguNT_Nahuatl_Guerrero-4.7.apk: ((para dispositivos móviles con menos de Android 4.0 19MB)) ## https://www.scriptureearth.org/data/ngu/study/nguNT_Nahuatl_Guerrero3gp-4.7.apk: ((para dispositivos móviles con menos de Android 4.0 295MB)) ## https://www.scriptureearth.org/data/ngu/study/nguHimnario_nahuatl_guerrero-4.7.apk: ((Himnario con audio 35MB)) ## https://www.scriptureearth.org/data/ngu/study/nguATS_nahuatl_guerrero-4.7.apk: ((Resumen del Antiguo Testamento con audio 63MB))	New Testament (Virtual Storehouse): http://virtualstorehouse.org/nahuatl-de-guerrero-nt-ngu	https://live.bible.is/bible/NGUTBL/Mat/1	Bible.com (YouVersion) - El Nuevo Testamento (NGUNT): https://www.bible.com/bible/1660/MAT.1 ## Bible.com (YouVersion) - In yencuic iyectlajtoltzin Dios itech ica toTeco Jesucristo (NGUNT): https://www.bible.com/bible/749/MAT.1	Bibles.org - NGU: https://bibles.org/ngu-NGU/Matt/1 ## Bibles.org - NGUNT: https://bibles.org/ngu-NGUNT/Matt/1	Audio recordings (Global Recordings Network): http://globalrecordings.net/en/langcode/ngu	ngu_MAT_REV.jar		resumen del Antiguo Testamento	https://www.scriptureearth.org/data/ngu/video/JESUSFilm-ngu.txt	https://www.scriptureearth.org/data/ngu/video/LukeVideo-ngu.txt								https://www.scriptureearth.org/data/ngu/video/ngu-scripture-videos.txt ## https://www.scriptureearth.org/data/ngu/video/ngu-ScriptureAnim-640.txt						languages of Western Central Mexico: http://www.ethnologue.com/map/MX_wc	
Náhuatl, Highland Puebla	Mejicano de Zacapoaxtla, Náhuatl de Zacapoaxtla, sierra de Puebla (highland Puebla), Nahuatl, Highland Puebla, Mejicano, Mexicano, Nahuatlahtolli, Náhuat de la Sierra de Puebla, Sierra Aztec, Sierra Puebla Náhuatl, Sierra de Zacapoaxtla Nahuatl, Zacapoaxtla Náhuat	azz			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=azz	Mexico	27		100		1				100						1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.wycliffe.nahuatlsierrapuebla.azz	https://www.scriptureearth.org/data/azz/study/azzNT_Nahuatl_sierra_Puebla3gp-6.0.2.apk: ((con el texto y audio del Nuevo Testamento 286MB)) ## https://www.scriptureearth.org/data/azz/study/azzNT_Nahuatl_sierra_Puebla-4.7.apk: ((para dispositivos móviles con menos de Android 4.0 20MB)) ## https://www.scriptureearth.org/data/azz/study/azzNT_Nahuatl_sierra_Puebla3gp-4.7.apk: ((para dispositivos móviles con menos de Android 4.0 275MB))	New Testament (Virtual Storehouse): http://virtualstorehouse.org/nahuatl-de-la-sierra-de-puebla-nt-azz	https://live.bible.is/bible/AZZTBL/Mat/1	Bible.com (YouVersion): https://www.bible.com/bible/781/MAT.1	Bibles.org: https://bibles.org/azz-AZZNT/Matt/1		azz_MAT_REV.jar		la vida de Cristo	https://www.scriptureearth.org/data/azz/video/JESUSFilm-azz.txt		(azz-johnvids.txt): videos del Evangelio según San Juan							https://www.scriptureearth.org/data/azz/video/azz-scripture-videos.txt ## https://www.scriptureearth.org/data/azz/video/azz-ScriptureAnim-640.txt							
Náhuatl, Huasteca Central	Nahuatl, Central Huasteca, Mexicano, Mexicano de la Huasteca Hidalguense, Náhuat de la Huasteca Central, Náhuatl, nāhuatlahtōlli	nch			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=nch	Mexico	27				1		39				1		1		1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.wycliffe.nahuatlhuastecacentral.nch	https://www.scriptureearth.org/data/nch/study/nchNT_Nahuatl_Huasteca_central3gp-5.4.apk: ((con el texto y audio del Nuevo Testamento 192MB)) ## https://www.scriptureearth.org/data/nch/study/nchNT_Nahuatl_Huasteca_central-4.7.apk: ((para dispositivos móviles con menos de Android 4.0 17MB)) ## https://www.scriptureearth.org/data/nch/study/nchNT_Nahuatl_Huasteca_central3gp-4.7.apk: ((para dispositivos móviles con menos de Android 4.0 184MB))	New Testament (Virtual Storehouse): http://virtualstorehouse.org/nahuatl-de-la-huasteca-central-nt-nch	https://live.bible.is/bible/NCHTBL/Mat/1	Bible.com (YouVersion): https://www.bible.com/bible/751/MAT.1	Bibles.org: https://bibles.org/nch-NCHBI/Matt/1		nch_BIBLIA.jar			https://www.scriptureearth.org/data/nch/video/JESUSFilm-nch.txt		(nch-johnvids.txt): videos de San Juan ## (nch-johnvids-640.txt): videos de San Juan							https://www.scriptureearth.org/data/nch/video/nch-scripture-videos.txt ## https://www.scriptureearth.org/data/nch/video/nch-ScriptureAnim-640.txt							
Náhuatl, Huasteca East	Náhuatl (Azteca) de Hidalgo, Náhuatl (Azteca) de la Huasteca Oriental, Southeastern Huasteca Nahuatl, Nahuatl, Eastern Huasteca, Eastern Huasteca Aztec, Huasteca Nahuatl, Mexicano, Náhuatl de Hidalgo, Náhuatl de la Huasteca Oriental, nāhuatlahtōlli	nhe			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=nhe	Mexico	27				1		39				1		1		1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.wycliffe.nahuatlhuastecaorientalbiblia.nhe	https://www.scriptureearth.org/data/nhe/study/nheNT_Nahuatl_Huasteca_oriental3gp-5.4.apk: ((con el texto y audio del Nuevo Testamento 193MB)) ## https://www.scriptureearth.org/data/nhe/study/nheNT_Nahuatl_Huasteca_oriental-4.7.apk: ((para dispositivos móviles con menos de Android 4.0 17MB)) ## https://www.scriptureearth.org/data/nhe/study/nheNT_Nahuatl_Huasteca_oriental3gp-4.7.apk: ((para dispositivos móviles con menos de Android 4.0 186MB))	New Testament (Virtual Storehouse): http://virtualstorehouse.org/nahuatl-de-la-huasteca-oriental-nt-nhe	https://live.bible.is/bible/NHETBL/Mat/1 ## https://live.bible.is/bible/NHETBG/mat/1	Bible.com Ya ni nopa yancuic tlajtoli tlen toteco toca mocajtoc; El NT de nuestro Señor Jesucristo: https://www.bible.com/bible/225/MAT.1 ## Bible.com (YouVersion) - Itlajtol toteco: Santa Biblia (NHEBI): https://www.bible.com/bible/747/MAT.1	Bibles.org - Itlajtol toteco: Santa Biblia (NHEBI): https://bibles.org/nhe-NHEBI/Matt/1 ## Bibles.org - Ya ni nopa yancuic tlajtoli tlen toteco toca mocajtoc; El Nuevo Testamento... (NHENT): https://bibles.org/nhe-NHENT/Matt/1		nhe_BIBLIA.jar			https://www.scriptureearth.org/data/nhe/video/JESUSFilm-nhe.txt	https://www.scriptureearth.org/data/nhe/video/LukeVideo-nhe.txt			https://www.scriptureearth.org/data/nhe/video/nhe-GenesisVideo.txt ## https://www.scriptureearth.org/data/nhe/video/nhe-GenesisVideo-640.txt					https://www.scriptureearth.org/data/nhe/video/nhe-scripture-videos.txt ## https://www.scriptureearth.org/data/nhe/video/nhe-ScriptureAnim-640.txt							
Náhuatl, Huasteca West	Náhuatl (Azteca) de Tamazunchale, Náhuatl (Azteca) de la Huasteca Occidental, Nahuatl, Western Huasteca, Mexicano, Náhuatl, Náhuatl de Tamazunchale, Náhuatl de la Huasteca Occidental, Western Huasteca Aztec, nāhuatlahtōlli	nhw			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=nhw	Mexico	27				1		39				1		1		1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.wycliffe.nahuatlhuastecaoccidental.nhw	https://www.scriptureearth.org/data/nhw/study/nhwNT_Nahuatl_Huasteca_occidental_Biblia3gp-5.2.apk: ((con el texto y audio del Nuevo Testamento 190MB)) ## https://www.scriptureearth.org/data/nhw/study/nhwNT_Nahuatl_Huasteca_occidental_Biblia-4.7.apk: ((para dispositivos móviles con menos de Android 4.0 17MB)) ## https://www.scriptureearth.org/data/nhw/study/nhwNT_Nahuatl_Huastecaoccidental_Biblia3gp-4.7.apk: ((para dispositivos móviles con menos de Android 4.0 182MB))	New Testament (Virtual Storehouse): http://virtualstorehouse.org/nahuatl-de-la-huasteca-occidental-nt-nhw	https://live.bible.is/bible/NHWTBL/Mat/1	Bible.com (YouVersion): https://www.bible.com/bible/748/MAT.1	Bibles.org: https://bibles.org/nhw-NHWBI/Matt/1		nhw_BIBLIA.jar			https://www.scriptureearth.org/data/nhw/video/JESUSFilm-nhw.txt	https://www.scriptureearth.org/data/nhw/video/LukeVideo-nhw.txt			https://www.scriptureearth.org/data/nhw/video/GenesisVideo-nhw.txt					https://www.scriptureearth.org/data/nhw/video/nhw-scripture-videos.txt ## https://www.scriptureearth.org/data/nhw/video/nhw-ScriptureAnim-640.txt							
Náhuatl, Huaxcaleca	N. de Chichiquila, Náhuatl de Chichiquila, Nahuatl, Huaxcaleca, Huaxcaleca Aztec	nhq			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=nhq	Mexico															1																											
Nahuatl, Isthmus - Mecayapan		nhx	"22736		https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=nhx&ROD_Code=22736	Mexico			100						100						1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.wycliffe.nahuatlmecayapan.nhx	https://www.scriptureearth.org/data/nhx/study/nhxNT_Nahuatl_Mecayapan3gp-5.2.apk: ((con el texto del Nuevo Testamento y más, audio de todo 214MB)) ## https://www.scriptureearth.org/data/nhx/study/nhxNT_Nahuatl_Mecayapan-4.7.apk: ((para dispositivos móviles con menos de Android 4.0 17MB)) ## https://www.scriptureearth.org/data/nhx/study/nhxNT_Nahuatl_Mecayapan3gp-4.7.apk: ((para dispositivos móviles con menos de Android 4.0 209MB))		https://live.bible.is/bible/NHXNFB/mat/1	Bible.com (YouVersion) - El Nuevo Testamento (NHXMNT): https://www.bible.com/bible/1654/MAT.1					historia de José		https://www.scriptureearth.org/data/nhx/video/LukeVideo-nhx.txt								https://www.scriptureearth.org/data/nhx/video/nhxMec-scripture-videos.txt ## https://www.scriptureearth.org/data/nhx/video/nhx-22736-ScriptureAnim-640.txt							
Náhuatl, Isthmus - Tatahuicapan	Náhuatl de Veracruz, Náhuatl Isthmus, Náhuatl de Mecayapan y Tatahuicapan, Náhuatl del Istmo, Nahuatl, Isthmus-Mecayapan, Isthmus Aztec-Mecayapan, Isthmus Nahuatl, Mecayapan Isthmus Nahuatl, Mexicano, Nahuatl del Istmo, Náhuatl de Mecayapan, melaꞌtájto̱l	nhx	"06407		https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=nhx&ROD_Code=06407	Mexico			100						100						1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.wycliffe.nahuatltatahuicapan.nhx	https://www.scriptureearth.org/data/nhx/study/nhxNT_Nahuatl_Tatahuicapan3gp-5.2.apk: ((con el texto del Nuevo Testamento y más, audio de todo 213MB)) ## https://www.scriptureearth.org/data/nhx/study/nhxNT_Nahuatl_Tatahuicapan-4.7.apk: ((para dispositivos móviles con menos de Android 4.0 16MB)) ## https://www.scriptureearth.org/data/nhx/study/nhxNT_Nahuatl_Tatahuicapan3gp-4.7.apk: ((para dispositivos móviles con menos de Android 4.0 208MB))		https://live.bible.is/bible/NHXNHX/mat/1	Bible.com (YouVersion) - El Nuevo Testamento (NHXTNT): https://www.bible.com/bible/1661/MAT.1	Bibles.org - NHX: https://bibles.org/nhx-NHX/Matt/1						https://www.scriptureearth.org/data/nhx/video/LukeVideo-nhx.txt								https://www.scriptureearth.org/data/nhx/video/nhx-scripture-videos.txt ## https://www.scriptureearth.org/data/nhx/video/nhx-06407-ScriptureAnim-640.txt							
Náhuatl, Michoacán	Nahuatl, Michoacán, Gente natural, Mexicano, Michoacan Aztec, Nahuatl de Michoacán	ncl			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=ncl	Mexico	27	260			1	1	3		3						1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.wycliffe.nahuatlmichoacan.ncl	https://www.scriptureearth.org/data/ncl/study/nclNT_Nahuatl_Michoacan3gp-5.4.apk: ((con el texto y audio del Nuevo Testamento 277MB)) ## https://www.scriptureearth.org/data/ncl/study/nclNT_Nahuatl_Michoacan-4.7.apk: ((para dispositivos móviles con menos de Android 4.0 21MB)) ## https://www.scriptureearth.org/data/ncl/study/nclNT_Nahuatl_Michoacan3gp-4.7.apk: ((para dispositivos móviles con menos de Android 4.0 272MB))	New Testament (Virtual Storehouse): http://virtualstorehouse.org/nahuatl-de-michoacan-nt-ncl		Bible.com (YouVersion): https://www.bible.com/bible/737/MAT.1	Bibles.org: https://bibles.org/ncl-NCLNT/Matt/1		ncl_MAT_REV.jar												https://www.scriptureearth.org/data/ncl/video/ncl-scripture-videos.txt ## https://www.scriptureearth.org/data/ncl/video/ncl-ScriptureAnim-640.txt							
Náhuatl, Morelos	Nahuatl, Morelos, Náhuatl de Cuentepec	nhm			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=nhm	Mexico	5	16	5	16											1																											
Náhuatl, Northern Oaxaca	Nahuatl, Northern Oaxaca, Mexicano, Nahuatl de Oaxaca, Náhuatl, Náhuatl del Norte de Oaxaca, nāhuatlahtōlli	nhy			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=nhy	Mexico	27	260			1	1									1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.wycliffe.nahuatlnorteoaxaca.nhy	https://www.scriptureearth.org/data/nhy/study/nhyNT_Nahuatl_norte_Oaxaca3gp-5.2.apk: ((con el texto y audio del Nuevo Testamento 156MB)) ## https://www.scriptureearth.org/data/nhy/study/nhyNT_Nahuatl_norte_Oaxaca-4.7.apk: ((para dispositivos móviles con menos de Android 4.0 13MB)) ## https://www.scriptureearth.org/data/nhy/study/nhyNT_Nahuatl_norte_Oaxaca3gp-4.7.apk: ((para dispositivos móviles con menos de Android 4.0 151MB))	New Testament (Virtual Storehouse): http://virtualstorehouse.org/nahuatl-del-norte-de-oaxaca-nt-nhy	https://live.bible.is/bible/NHYTBL/Mat/1	Bible.com (YouVersion): https://www.bible.com/bible/712/MAT.1	Bibles.org: https://bibles.org/nhy-NHYNT/Matt/1		nhy_MAT_REV.jar												https://www.scriptureearth.org/data/nhy/video/nhy-scripture-videos.txt ## https://www.scriptureearth.org/data/nhy/video/nhy-ScriptureAnim-640.txt							
Náhuatl, Northern Puebla	Nahuatl, Northern Puebla, North Puebla Aztec, North Puebla Sierra Nahuatl, Náhuatl del Norte de Puebla	ncj			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=ncj	Mexico	27		100		1				100						1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.wycliffe.nahuatlnortepuebla.ncj	https://www.scriptureearth.org/data/ncj/study/ncjNT_Nahuatl_norte_Puebla3gp-5.4.apk: ((con el texto y audio del Nuevo Testamento 199MB)) ## https://www.scriptureearth.org/data/ncj/study/ncjNT_Nahuatl_norte_Puebla-4.7.apk: ((para dispositivos móviles con menos de Android 4.0 18MB)) ## https://www.scriptureearth.org/data/ncj/study/ncjNT_Nahuatl_norte_Puebla3gp-4.7.apk: ((para dispositivos móviles con menos de Android 4.0 194MB))	New Testament (Virtual Storehouse): http://virtualstorehouse.org/nahuatl-del-norte-de-puebla-nt-ncj	https://live.bible.is/bible/NCJTBL/Mat/1	Bible.com (YouVersion): https://www.bible.com/bible/783/MAT.1	Bibles.org: https://bibles.org/ncj-NCJNT/Matt/1														https://www.scriptureearth.org/data/ncj/video/ncj-scripture-videos.txt ## https://www.scriptureearth.org/data/ncj/video/ncj-ScriptureAnim-640.txt							
Náhuatl, Orizaba	N. de Ixhuatlancillo, N. de la Sierra de Zongolica-Tequila, Náhuatl de Ixhuatlancillo, Náhuatl de la Sierra de Zongolica-Tequila, Ixhuatlancillo Nahuatl, Nahuatl, Orizaba, Náhuatl de la Sierra de Zongolica, Orizaba Aztec	nlv			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=nlv	Mexico															1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.wycliffe.nahuatlorizaba.nlv						Audio recordings (Global Recordings Network): http://globalrecordings.net/en/language/4679				https://www.scriptureearth.org/data/nlv/video/JESUSFilm-nlv.txt	https://www.scriptureearth.org/data/nlv/video/LukeVideo-nlv.txt		https://www.scriptureearth.org/data/nlv/video/ActsVideo-nlv.txt												languages of Western Central Mexico: http://www.ethnologue.com/map/MX_wc	
Nahuatl, Sierra Negra	Coyomeapan, Zoquitlán	nsu			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=nsu	Mexico	27	87		87	1										1	Aplicación para Android (Google Play): https://play.google.com/store/apps/details?id=org.wycliffe.nahatlsierranegra.nsu	https://www.scriptureearth.org/data/nsu/study/nsuNT_nahuatl_sierra_negra3gp-5.2.apk: ((con el texto y audio del Nuevo Testamento 150MB)) ## https://www.scriptureearth.org/data/nsu/study/nsuNT_nahuatl_sierra_negra-4.7.apk: ((para dispositivos móviles con menos de Android 4.0 15MB)) ## https://www.scriptureearth.org/data/nsu/study/nsuNT_nahuatl_sierra_negra3gp-4.7.apk: ((para dispositivos móviles con menos de Android 4.0 145MB))		https://live.bible.is/bible/NSUWBT/MRK/1?audio_type=audio_drama	Bible.com (YouVersion): https://www.bible.com/bible/1725/MAT.1	Bibles.org: https://bibles.org/nsu-NSU/Matt/1														https://www.scriptureearth.org/data/nsu/video/nsu-scripture-videos.txt ## https://www.scriptureearth.org/data/nsu/video/nsu-ScriptureAnim-640.txt							
Nahuatl, Tehuacán Valley	Náhuatl, Southeastern Puebla, Náhuatl de Sureste de Puebla, Nahuatl, Southeastern Puebla, Náhuatl del Sureste de Puebla, Náhuatl del Valle de Tehuacán, Tehuacán Náhuatl	npl			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=npl	Mexico	27				1										1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.wycliffe.nahuatlvalletehuacan.npl	https://www.scriptureearth.org/data/npl/study/nplNT_Nahuatl_Tehuacan3gp-5.2.apk: ((con el texto y audio del Nuevo Testamento 170MB)) ## https://www.scriptureearth.org/data/npl/study/nplNT_Nahuatl_Tehuacan-4.7.apk: ((para dispositivos móviles con menos de Android 4.0 16MB)) ## https://www.scriptureearth.org/data/npl/study/nplNT_Nahuatl_Tehuacan3gp-4.7.apk: ((para dispositivos móviles con menos de Android 4.0 170MB))	New Testament (Virtual Storehouse): http://virtualstorehouse.org/nahuatl-de-tehuacan-nt	https://live.bible.is/bible/NPLWYI/Mat/1	Bible.com (YouVersion): https://www.bible.com/bible/424/MAT.1	Bibles.org: https://bibles.org/npl-NPLNT/Matt/1		npl_MAT_REV.jar			https://www.scriptureearth.org/data/npl/video/JESUSFilm-npl.txt																
Náhuatl, Tetelcingo	Nahuatl, Tetelcingo, Tetelcingo Aztec	nhg			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=nhg	Mexico	27				1										1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.wycliffe.nhg.nahuatltetelcingo	https://www.scriptureearth.org/data/nhg/study/nhgNT_nahuatl_tetelcingo-4.7.apk: ((para dispositivos móviles con menos de Android 4.0))	New Testament (Virtual Storehouse): http://virtualstorehouse.org/nahuatl-de-tetelcingo-nt-nhg		Bible.com (YouVersion): https://www.bible.com/bible/767/MAT.1	Bibles.org: https://bibles.org/nhg-NHGNT/Matt/1		nhg_MAT_REV.jar																			
Náhuatl, Tlamacazapa	Nahuatl, Tlamacazapa	nuz			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=nuz	Mexico	2	49	2	49											1				https://live.bible.is/bible/NUZNTP/mat/1																							
Náhuatl, Zacatlán, Ahuacatlán and Tepetzintla	Tlalitzlipa Nahuatl, Zacatlán-Ahuacatlán-Tepetzintla Nahuatl, Nahuatl, Zacatlán-Ahuacatlán-Tepetzintla, Ahuacatlán and Tepetzintla, Aztec of Zacatlán, Mejicano, Mexicano, Tenango Nahuatl	nhi			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=nhi	Mexico	27		100		1			25	100	25					1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.wycliffe.nahuatlzacatlan.nhi	https://www.scriptureearth.org/data/nhi/study/nhiNT_Nahuatl_Zacatlan3gp-5.2.apk: ((con el texto y audio del Nuevo Testamento 162MB)) ## https://www.scriptureearth.org/data/nhi/study/nhiNT_Nahuatl_Zacatlan-4.7.apk: ((para dispositivos móviles con menos de Android 4.0 15MB)) ## https://www.scriptureearth.org/data/nhi/study/nhiNT_Nahuatl_Zacatlan3gp-4.7.apk: ((para dispositivos móviles con menos de Android 4.0 157MB))	New Testament (Virtual Storehouse): http://virtualstorehouse.org/nahuatl-de-zacatlan-ahuacatlan-y-tepetzintla-nt-nhi	https://live.bible.is/bible/NHIWBT/Mat/1	Bible.com (YouVersion): https://www.bible.com/bible/366/MAT.1	Bibles.org: https://bibles.org/nhi-NHINT/Matt/1		nhi_MAT_REV.jar		resumen de Salmos			(nhi-johnvids.txt): videos de San Juan ## (nhi-johnvids-640.txt): videos de San Juan							https://www.scriptureearth.org/data/nhi/video/nhi-scripture-videos.txt ## https://www.scriptureearth.org/data/nhi/video/nhi-ScriptureAnim-640.txt							
Nakanai	Nakonai, Bileki, Losa, Maututu, Ubae, Vere, Auka, Babata, Lakalai, Loso, Mamuga, Muku, Tarobi, Vele	nak			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=nak	Papua New Guinea	26		26												1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.wycliffe.nak.nakanai.nt		New Testament (Virtual Storehouse): http://virtualstorehouse.org/nakanai-nt-nak	https://live.bible.is/bible/NAKTBL/Mat/1			Audio recordings (Global Recordings Network): http://globalrecordings.net/en/langcode/nak	NakanaiNT.jar	 nak.bbl.mybible		https://www.scriptureearth.org/data/nak/video/JESUSFilm-nak.txt															languages of Papua New Guinea: http://www.ethnologue.com/map/PG_12	
Nalca	Hmanggona, Hmonono, Kimjal, Kimyal, Mek, Nalja, Naltje, Naltya	nlc			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=nlc	Indonesia															1																											
Nali	Okro, Yiru	nss			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=nss	Papua New Guinea															1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.wycliffe.nss.nali.pnt				Bible.com (YouVersion): https://www.bible.com/bible/1453/MAT.1	Bibles.org: https://bibles.org/nss-NSS/Matt/1						https://www.scriptureearth.org/data/nss/video/nss-LukeVideo.txt ## https://www.scriptureearth.org/data/nss/video/nss-LukeVideo-640.txt														languages of Papua New Guinea: http://www.ethnologue.com/map/PG_01	
Nambikuára	Alaketesu, Anunsu, Nambikwara, Nambiquara, Alatesu, Galera, Hahaintesu, Halotesu, Khithaulhu, Manduka, Sarare, Saxwentesu, Serra Azul, Waikisu, Wakalitesu, Wasusu, Kitãulhu, ki³thãu³lhu², Nambikuára, Southern, Nambicuara, Nambikwara do Sul, Southern Nambikwara	nab			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=nab	Brazil	27	258		258	1										1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.scriptureearth.nab.nt.apk		New Testament (Virtual Storehouse): http://virtualstorehouse.org/nambikuara-nt-nab		Bible.com (YouVersion): https://www.bible.com/bible/660/MAT.1	Bibles.org: https://bibles.org/nab-NABNT/Matt/1	Audio recordings (Global Recordings Network): http://globalrecordings.net/en/program/C07560		 nab.bbl.mybible		https://www.scriptureearth.org/data/nab/video/JESUSFilm-nab.txt															languages of Central Brazil: http://www.ethnologue.com/map/BR_c_	
Nambya	Chinambya, Nambzya, Nanzva, Banyai, chiNambya	nmq			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=nmq	Botswana, Zimbabwe															1																											
Namiae	Namiai, Barai	nvm			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=nvm	Papua New Guinea	27				1										1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.wycliffe.nvm.namiae.nt		New Testament (Virtual Storehouse): http://virtualstorehouse.org/namiae-nt-nvm	https://live.bible.is/bible/NVMWBT/Mat/1				NamiaiNT.jar	 nvm.bbl.mybible																	languages of Papua New Guinea: http://www.ethnologue.com/map/PG_16	
Namwanga	Iwa, Tambo, Nyamwanga, Chinamwanga, Chinyamwanga, Cinamwanga, Ichinamwanga, Inamwanga, Kinamwanga, Kinyamwanga, Mwanga, Tembo	mwn			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=mwn	Tanzania, Zambia															1																											
