English Language Name	Alternate Language Name	ISO code	ROD code	Variant code	URL	Country(ies)	NT PDF count	NT Audio count	NT Partial PDF count	NT Partial Audio count	NT PDF Whole count	NT Audio Whole count	OT PDF count	OT Audio count	OT Partial PDF count	OT Partial Audio count	OT PDF Whole count	OT Audio Whole count	Bible PDF count	Bible Audio count	Scriture App Builder HTML	Google Play (Android app)	Android App (SE version)	Buy	BibleIs	YouVersion	Bibles.org	GRN	GoBible	MySword (Android)	Playlist Audio	Jesus Film (SE and YouTube)	Luke Vidoe	John Video	Acts Video	Genesis Video	God's Story Video	The Good Samaritan Video	Magdalena Video	John Animation Video	Scripture Animation Video	The Last Day Video	Jesus/Children Video	History	5fish	iTunes	Maps	
Afar	Afaraf, Qafar, Qafar af, ʿAfár af, Aussa, Ba’adu, Central Afar, Northern Afar, Baadu, Adal, Affar, Affarigna	aar			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=aar	Djibouti, Eritrea, Ethiopia															1																		https://www.scriptureearth.org/data/aar/video/Magdalena-aar.txt									
Afrikaans		afr			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=afr	Botswana, Malawi, Namibia, South Africa, Swaziland, Zambia															1			Bible (ZakBijbelBond): https://www.zakbijbelbond.nl/en/haitian-creole-bibles/		Bible.com (YouVersion) - Nuwe Lewende Vertaling (NLV): https://www.bible.com/bible/117/MAT.1 ## Bible.com (YouVersion) - Bybel vir almal (ABA): https://www.bible.com/bible/2/MAT.1 ## Bible.com (YouVersion) - Afrikaans 1933/1953 (AFR53): https://www.bible.com/bible/5/MAT.1 ## Bible.com (YouVersion) - Die Boodskap (DB): https://www.bible.com/bible/50/MAT.1 ## Bible.com (YouVersion) - Afrikaans 1983 (AFR83): https://www.bible.com/bible/6/MAT.1	Bibles.org - Bybel vir almal (ABA): https://bibles.org/afr-ABA/Matt/1 ## Bibles.org - Afrikaans 1933/1953 (AFR53): https://bibles.org/afr-AFR53/Matt/1 ## Bibles.org - Afrikaans 1983 (AFR83): https://bibles.org/afr-AFR83/Matt/1					https://www.scriptureearth.org/data/afr/video/JESUSFilm-afr.txt							https://www.scriptureearth.org/data/afr/video/Magdalena-afr.txt				https://www.jesusfilm.org/watch/jfp-interests-student-resources.html/the-story-of-jesus-for-children/afrikaans.html					
Agarabi	Agarabe, Bare, Bare	agd			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=agd	Papua New Guinea	27				1										1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.scriptureearth.agd.nt.apk		New Testament (Virtual Storehouse): http://virtualstorehouse.org/agarabi-nt-agd				Audio recordings (Global Recordings Network): http://globalrecordings.net/en/language/4760	AgarabiNT.jar	 agd.bbl.mybible		https://www.scriptureearth.org/data/agd/video/JESUSFilm-agd.txt															languages of Papua New Guinea: http://www.ethnologue.com/map/PG_10	
Agatu	North Idoma, Ochekwu	agc			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=agc	Nigeria															1																											
Agta, Casiguran Dumagat	Casiguran Dumagat, Agta, Agta Casiguran, Casiguran Agta	dgc			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=dgc	Philippines	27		100		1				100						1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.scriptureearth.dgc.nt.apk				Bible.com (YouVersion): https://www.bible.com/bible/1170/MAT.1	Bibles.org: https://bibles.org/dgc-DGCNT/Matt/1	Audio recordings (Global Recordings Network): http://globalrecordings.net/en/language/2317	Agta_CasiguranDumagatNT.jar	 dgc.bbl.mybible																	languages of Northern Philippines: http://www.ethnologue.com/map/PH_n	
Agta, Central Cagayan	Labin Agta, Agta	agt			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=agt	Philippines	27		100		1				100						1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.scriptureearth.agt.nt.apk		New Testament (Virtual Storehouse): http://virtualstorehouse.org/agta-central-cagayan-nt-agt		Bible.com (YouVersion): https://www.bible.com/bible/1244/MAT.1	Bibles.org: https://bibles.org/agt-AGTNT/Matt/1	Audio recordings (Global Recordings Network): http://globalrecordings.net/en/language/1891	Agta_CentralCagayanNT.jar	 agt.bbl.mybible																	languages of Northern Philippines: http://www.ethnologue.com/map/PH_n	
Agta, Dupaninan	Dupaningan Agta, Eastern Cagayan Agta, Barongagunay, Bolos Point, Camonayan, Palaui Island, Peñablanca, Roso, Santa Ana-Gonzaga, Santa Margarita, Tanglagan, Valley Cove, Yaga, Southeast Cagayan, Eastern Cagayan Agta	duo			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=duo	Philippines	27				1										1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.scriptureearth.duo.nt.apk		New Testament (Virtual Storehouse): http://virtualstorehouse.org/agta-dupaninan-nt-duo	https://live.bible.is/bible/DUOWBT/Mat/1	Bible.com (YouVersion): https://www.bible.com/bible/1312/MAT.1	Bibles.org: https://bibles.org/duo-DUO/Matt/1		Agta_DupaninanNT.jar	 duo.bbl.mybible																	languages of Northern Philippines: http://www.ethnologue.com/map/PH_n	
Agta, Pahanan	Pahanan, Palanan Agta	apf			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=apf	Philippines															1																											
Agta, Umiray Dumaget	Umiray Agta, Umirey Dumagat, Anglat Agta, Polillo Island Agta, Dumagat-Bulos, Dumaget-Bulus, Umirey Dumagat	due			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=due	Philippines			100						100						1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.scriptureearth.due.nt.apk		New Testament (Virtual Storehouse): http://virtualstorehouse.org/agta-umiray-dumaget-nt-due	https://live.bible.is/bible/DUEWBT/Mat/1		Bibles.org: https://bibles.org/due-DUE/Matt/1	Audio recordings (Global Recordings Network): http://globalrecordings.net/en/language/2319		 due.bbl.mybible ##  due.bbl.mybible																	languages of Northern Philippines: http://www.ethnologue.com/map/PH_n	
Agul	Aghul, Fit’e, Gequn, Keren, Koshan, Tsirkhe, Burkikhan, Q’ushan, Aghul-ch’al, Agiul Shui	agx			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=agx	Russia															1	Bible app for Android (Google Play): https://play.google.com/store/apps/details?id=aghul.book				Bible.com (YouVersion) Лукайин Китаб Месигь Ӏисайихъас Идже Хабар (AGU: https://www.bible.com/bible/2080/MAT.1																						
