JohnAnim	John slide Videos in the Melpa language of Papua New Guinea [med]	images
30	The only way to God (John 14:1-14)	JnAnim14.01-14.png	https://www.youtube.com/watch?v=WpzkL1sow3Y&list=PLoDMmx9LIxpOESFmJE7q_bQcX8OklCyck&index=30
31	Jesus talks about the Holy Spirit (John 14:15-31)	JnAnim14.15-31.png	https://www.youtube.com/watch?v=qukEuc2zGac&list=PLoDMmx9LIxpOESFmJE7q_bQcX8OklCyck&index=31
32	The Vine and the branches (John 15:1-17)	JnAnim15.01-17.png	https://www.youtube.com/watch?v=o1uQqEXZo1U&list=PLoDMmx9LIxpOESFmJE7q_bQcX8OklCyck&index=32
33	Jesus warns about persecution (John 15:18-16:4)	JnAnim15.18-16.4.png	https://www.youtube.com/watch?v=r9BfRJ__mhU&list=PLoDMmx9LIxpOESFmJE7q_bQcX8OklCyck&index=33
34	More teaching about the Holy Spirit (John 16:5-33)	JnAnim16.05-33.png	https://www.youtube.com/watch?v=AWYg_gg-x7g&list=PLoDMmx9LIxpOESFmJE7q_bQcX8OklCyck&index=34
35	Jesus prays for his followers (John 17:1-26)	JnAnim17.01-26.png	https://www.youtube.com/watch?v=m4fMOY0ytBQ&list=PLoDMmx9LIxpOESFmJE7q_bQcX8OklCyck&index=35
36	Jesus betrayed arrested (John 18:1-14)	JnAnim18.01-14.png	https://www.youtube.com/watch?v=6ZoAFBTgU5A&list=PLoDMmx9LIxpOESFmJE7q_bQcX8OklCyck&index=36
37	Peter denies knowing Jesus and Annas questions Jesus (John 18:15-27)	JnAnim18.15-27.png	https://www.youtube.com/watch?v=UCCxTDghQP0&list=PLoDMmx9LIxpOESFmJE7q_bQcX8OklCyck&index=37
38	Pilate questions Jesus (John 18:28-40)	JnAnim18.28-40.png	https://www.youtube.com/watch?v=5J-SI0QH5g4&list=PLoDMmx9LIxpOESFmJE7q_bQcX8OklCyck&index=38
39	Jesus sentenced to death (John 19:1-16)	JnAnim19.01-16.png	https://www.youtube.com/watch?v=hnHc8oLVtZ8&list=PLoDMmx9LIxpOESFmJE7q_bQcX8OklCyck&index=39
40	The crucifixion (John 19:17-37)	JnAnim19.17-37.png	https://www.youtube.com/watch?v=0CQB4YIDWNg&list=PLoDMmx9LIxpOESFmJE7q_bQcX8OklCyck&index=40
41	The resurrection (John 19:38-20:18)	JnAnim19.38-20.18.png	https://www.youtube.com/watch?v=wlbbk-WTeXU&list=PLoDMmx9LIxpOESFmJE7q_bQcX8OklCyck&index=41
42	Jesus appears to the disciples (John 20:19-31)	JnAnim20.19-31.png	https://www.youtube.com/watch?v=ukQxjfMLL8s&list=PLoDMmx9LIxpOESFmJE7q_bQcX8OklCyck&index=42
43	Jesus at the Sea of Galilee (John 21:1-25)	JnAnim21.01-25.png	https://www.youtube.com/watch?v=f9EnLucZ7dg&list=PLoDMmx9LIxpOESFmJE7q_bQcX8OklCyck&index=43
