JesusFilm	De JEZUS Film — Burmese, Standard [mya]	images
31	Gelijkenis van de barmhartige Samaritaan	JF31.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-good-samaritan/burmese-standard.html
32	Genezing van Bartimeüs	JF32.png	http://www.jesusfilm.org/watch/jesus.html/healing-of-bartimaeus/burmese-standard.html
33	Jezus en Zacheüs	JF33.png	http://www.jesusfilm.org/watch/jesus.html/jesus-and-zaccheus/burmese-standard.html
34	Jezus voorspelt Zijn dood en opstanding	JF34.png	http://www.jesusfilm.org/watch/jesus.html/jesus-predicts-his-death-and-resurrection/burmese-standard.html
35	Triomfantelijke intocht van Jezus	JF35.png	http://www.jesusfilm.org/watch/jesus.html/jesus-triumphal-entry/burmese-standard.html
36	Jezus huilt over Jeruzalem	JF36.png	http://www.jesusfilm.org/watch/jesus.html/jesus-weeps-over-jerusalem/burmese-standard.html
37	Jezus verdrijft de geldwisselaars	JF37.png	http://www.jesusfilm.org/watch/jesus.html/jesus-drives-out-money-changers/burmese-standard.html
38	Het penningske van de weduwe	JF38.png	http://www.jesusfilm.org/watch/jesus.html/widow-offering/burmese-standard.html
39	Vragen van Annas over de autoriteit van Jezus	JF39.png	http://www.jesusfilm.org/watch/jesus.html/annas-questions-jesus-authority/burmese-standard.html
40	Gelijkenis van de wijngaard en de huurders	JF40.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-vineyard-and-tenants/burmese-standard.html
41	Het betalen van belasting aan Caesar	JF41.png	http://www.jesusfilm.org/watch/jesus.html/paying-taxes-to-caesar/burmese-standard.html
42	Het laatste avondmaal	JF42.png	http://www.jesusfilm.org/watch/jesus.html/the-last-supper/burmese-standard.html
43	Laatste onderwijs aan de discipelen	JF43.png	http://www.jesusfilm.org/watch/jesus.html/upper-room-teaching/burmese-standard.html
44	Jezus wordt verraden en opgepakt	JF44.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-betrayed-and-arrested/burmese-standard.html
45	Petrus verloochent Jezus	JF45.png	http://www.jesusfilm.org/watch/jesus.html/peter-disowns-jesus/burmese-standard.html
46	Jezus wordt bespot en ondervraagd	JF46.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-mocked-and-questioned/burmese-standard.html
47	Jezus wordt voor Pilatus gebracht	JF47.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-pilate/burmese-standard.html
48	Jezus wordt voor Herodes gebracht	JF48.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-herod/burmese-standard.html
49	Jezus veroordeeld	JF49.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-sentenced/burmese-standard.html
50	Jezus draagt zijn kruis	JF50.png	http://www.jesusfilm.org/watch/jesus.html/jesus-carries-his-cross/burmese-standard.html
51	Jezus wordt gekruisigd	JF51.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-crucified/burmese-standard.html
52	Soldaten werpen lot over kleed van Jezus	JF52.png	http://www.jesusfilm.org/watch/jesus.html/soldiers-gamble-for-jesus-clothes/burmese-standard.html
53	Teken op het kruis	JF53.png	http://www.jesusfilm.org/watch/jesus.html/sign-on-the-cross/burmese-standard.html
54	Gekruisigde rovers	JF54.png	http://www.jesusfilm.org/watch/jesus.html/crucified-convicts/burmese-standard.html
55	Dood van Jezus	JF55.png	http://www.jesusfilm.org/watch/jesus.html/death-of-jesus/burmese-standard.html
56	Begrafenis van Jezus	JF56.png	http://www.jesusfilm.org/watch/jesus.html/burial-of-jesus/burmese-standard.html
57	Engelen bij het graf	JF57.png	http://www.jesusfilm.org/watch/jesus.html/angels-at-the-tomb/burmese-standard.html
58	Het graf is leeg	JF58.png	http://www.jesusfilm.org/watch/jesus.html/the-tomb-is-empty/burmese-standard.html
59	Opgestane Jezus verschijnt	JF59.png	http://www.jesusfilm.org/watch/jesus.html/resurrected-jesus-appears/burmese-standard.html
60	Grote opdracht en hemelvaart	JF60.png	http://www.jesusfilm.org/watch/jesus.html/great-commission-and-ascension/burmese-standard.html
61	Uitnodiging om Jesus persoonlijk te leren kennen	JF61.png	http://www.jesusfilm.org/watch/jesus.html/invitation-to-know-jesus-personally/burmese-standard.html
