JesusFilm	La Película JESÚS — Burmese, Standard [mya]	images
52	Los soldados apuestan por la ropa de Jesús	JF52.png	http://www.jesusfilm.org/watch/jesus.html/soldiers-gamble-for-jesus-clothes/burmese-standard.html
53	El letrero en la cruz	JF53.png	http://www.jesusfilm.org/watch/jesus.html/sign-on-the-cross/burmese-standard.html
54	Los condenados son crucificados	JF54.png	http://www.jesusfilm.org/watch/jesus.html/crucified-convicts/burmese-standard.html
55	La muerte de Jesús	JF55.png	http://www.jesusfilm.org/watch/jesus.html/death-of-jesus/burmese-standard.html
56	Jesús es sepultado	JF56.png	http://www.jesusfilm.org/watch/jesus.html/burial-of-jesus/burmese-standard.html
57	Los ángeles en la tumba	JF57.png	http://www.jesusfilm.org/watch/jesus.html/angels-at-the-tomb/burmese-standard.html
58	La tumba está vacía	JF58.png	http://www.jesusfilm.org/watch/jesus.html/the-tomb-is-empty/burmese-standard.html
59	Jesús resucitado aparece	JF59.png	http://www.jesusfilm.org/watch/jesus.html/resurrected-jesus-appears/burmese-standard.html
60	La gran comisión y la ascensión	JF60.png	http://www.jesusfilm.org/watch/jesus.html/great-commission-and-ascension/burmese-standard.html
61	Invitación para conocer a Jesús personalmente	JF61.png	http://www.jesusfilm.org/watch/jesus.html/invitation-to-know-jesus-personally/burmese-standard.html
