JesusFilm	The JESUS Film — Burmese, Common [mya]	images
22	Peter Declares Jesus to be the Christ	JF22.png	http://www.jesusfilm.org/watch/jesus.html/peter-declares-jesus-to-be-the-christ/burmese-common.html
23	The Transfiguration	JF23.png	http://www.jesusfilm.org/watch/jesus.html/the-transfiguration/burmese-common.html
24	Jesus Heals Boy from Evil Spirit	JF24.png	http://www.jesusfilm.org/watch/jesus.html/jesus-heals-boy-from-evil-spirit/burmese-common.html
25	The Lord’s Prayer	JF25.png	http://www.jesusfilm.org/watch/jesus.html/the-lord-prayer/burmese-common.html
26	Teaching About Prayer and Faith	JF26.png	http://www.jesusfilm.org/watch/jesus.html/teaching-about-prayer-and-faith/burmese-common.html
27	Woe To Those Who Cause Others to Sin	JF27.png	http://www.jesusfilm.org/watch/jesus.html/woe-to-those-who-cause-others-to-sin/burmese-common.html
28	Kingdom of God as a Mustard Seed	JF28.png	http://www.jesusfilm.org/watch/jesus.html/the-kingdom-of-god-as-a-mustard-seed/burmese-common.html
29	Jesus Spends Time with Sinners	JF29.png	http://www.jesusfilm.org/watch/jesus.html/jesus-spends-time-with-sinners/burmese-common.html
30	Healing on the Sabbath	JF30.png	http://www.jesusfilm.org/watch/jesus.html/healing-on-the-sabbath/burmese-common.html
31	Parable of the Good Samaritan	JF31.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-good-samaritan/burmese-common.html
32	Healing of Bartimaeus	JF32.png	http://www.jesusfilm.org/watch/jesus.html/healing-of-bartimaeus/burmese-common.html
33	Jesus and Zaccheus	JF33.png	http://www.jesusfilm.org/watch/jesus.html/jesus-and-zaccheus/burmese-common.html
34	Jesus Predicts His Death and Resurrection	JF34.png	http://www.jesusfilm.org/watch/jesus.html/jesus-predicts-his-death-and-resurrection/burmese-common.html
35	Jesus’ Triumphal Entry	JF35.png	http://www.jesusfilm.org/watch/jesus.html/jesus-triumphal-entry/burmese-common.html
36	Jesus Weeps Over Jerusalem	JF36.png	http://www.jesusfilm.org/watch/jesus.html/jesus-weeps-over-jerusalem/burmese-common.html
37	Jesus Drives Out Money Changers	JF37.png	http://www.jesusfilm.org/watch/jesus.html/jesus-drives-out-money-changers/burmese-common.html
38	Widow’s Offering	JF38.png	http://www.jesusfilm.org/watch/jesus.html/widow-offering/burmese-common.html
39	Annas Questions Jesus’ Authority	JF39.png	http://www.jesusfilm.org/watch/jesus.html/annas-questions-jesus-authority/burmese-common.html
40	Parable of the Vineyard and Tenants	JF40.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-vineyard-and-tenants/burmese-common.html
41	Paying Taxes To Caesar	JF41.png	http://www.jesusfilm.org/watch/jesus.html/paying-taxes-to-caesar/burmese-common.html
42	The Last Supper	JF42.png	http://www.jesusfilm.org/watch/jesus.html/the-last-supper/burmese-common.html
43	Upper Room Teaching	JF43.png	http://www.jesusfilm.org/watch/jesus.html/upper-room-teaching/burmese-common.html
44	Jesus is Betrayed and Arrested	JF44.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-betrayed-and-arrested/burmese-common.html
45	Peter Disowns Jesus	JF45.png	http://www.jesusfilm.org/watch/jesus.html/peter-disowns-jesus/burmese-common.html
46	Jesus is Mocked and Questioned	JF46.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-mocked-and-questioned/burmese-common.html
47	Jesus Is Brought To Pilate	JF47.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-pilate/burmese-common.html
48	Jesus Is Brought to Herod	JF48.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-herod/burmese-common.html
49	Jesus Is Sentenced	JF49.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-sentenced/burmese-common.html
50	Jesus Carries His Cross	JF50.png	http://www.jesusfilm.org/watch/jesus.html/jesus-carries-his-cross/burmese-common.html
51	Jesus Is Crucified	JF51.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-crucified/burmese-common.html
52	Soldiers Gamble For Jesus’ Clothes	JF52.png	http://www.jesusfilm.org/watch/jesus.html/soldiers-gamble-for-jesus-clothes/burmese-common.html
53	Sign on the Cross	JF53.png	http://www.jesusfilm.org/watch/jesus.html/sign-on-the-cross/burmese-common.html
54	Crucified Convicts	JF54.png	http://www.jesusfilm.org/watch/jesus.html/crucified-convicts/burmese-common.html
55	Death of Jesus	JF55.png	http://www.jesusfilm.org/watch/jesus.html/death-of-jesus/burmese-common.html
56	Burial of Jesus	JF56.png	http://www.jesusfilm.org/watch/jesus.html/burial-of-jesus/burmese-common.html
57	Angels at the Tomb	JF57.png	http://www.jesusfilm.org/watch/jesus.html/angels-at-the-tomb/burmese-common.html
58	The Tomb Is Empty	JF58.png	http://www.jesusfilm.org/watch/jesus.html/the-tomb-is-empty/burmese-common.html
59	Resurrected Jesus Appears	JF59.png	http://www.jesusfilm.org/watch/jesus.html/resurrected-jesus-appears/burmese-common.html
60	Great Commission and Ascension	JF60.png	http://www.jesusfilm.org/watch/jesus.html/great-commission-and-ascension/burmese-common.html
61	Invitation To Know Jesus Personally	JF61.png	http://www.jesusfilm.org/watch/jesus.html/invitation-to-know-jesus-personally/burmese-common.html
