JohnAnim	Juan - Náhuatl de Guerrero	[mza]	images
11	Jesús defiende su autoridad (Juan 5.16-47)	JnAnim05.16-47.png	https://www.youtube.com/watch?v=ie3qnOYlODo&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=11
12	Jesús alimenta una multitud (Juan 6.1-15)	JnAnim06.01-15.png	https://www.youtube.com/watch?v=PpzBbYLxjM8&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=12
13	Jesús camina sobre el agua (Juan 6.16-22)	JnAnim06.16-22.png	https://www.youtube.com/watch?v=wcyeuWuknks&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=13
14	El pan de vida (Juan 6.22-71)	JnAnim06.22-71.png	https://www.youtube.com/watch?v=TBsQ7Vnm-L8&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=14
15	Los líderes judíos quieren matar a Jesús (Juan 7.1-24)	JnAnim07.01-24.png	https://www.youtube.com/watch?v=WqS7rr14qRI&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=15
16	Los líderes tratan de arrestar a Jesús (Juan 7.25-53)	JnAnim07.25-53.png	https://www.youtube.com/watch?v=UYSEBGV6_2E&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=16
17	Jesús perdona a una mujer condenada (Juan 8.1-11)	JnAnim08.02-11.png	https://www.youtube.com/watch?v=KyKHGupUSLs&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=17
18	Jesús es la luz del mundo (Juan 8.12-30)	JnAnim08.12-30.png	https://www.youtube.com/watch?v=pnr9u9NaCl0&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=18
19	Jesús se enfrenta a seguidores falsos (Juan 8.31-59)	JnAnim08.31-59.png	https://www.youtube.com/watch?v=egeMsi8jtGU&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=19
20	Jesús cura a un ciego (Juan 9.1-41)	JnAnim09.01-41.png	https://www.youtube.com/watch?v=8kuDjN9nB0o&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=20
21	Jesús el buen pastor (Juan 10.1-21)	JnAnim10.01-21.png	https://www.youtube.com/watch?v=vq2aGMz7Udk&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=21
22	Jesús acusado de blasfemia (Juan 10.22-42)	JnAnim10.22-42.png	https://www.youtube.com/watch?v=8o365_ShK70&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=22
23	Jesús eleva a Lázaro (Juan 11.1-57)	JnAnim11.01-57.png	https://www.youtube.com/watch?v=StzJJfFf4pA&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=23
24	Maria unge a Jesús (Juan 12.1-11)	JnAnim12.01-11.png	https://www.youtube.com/watch?v=Y1qjskS-UY0&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=24
25	Entrada triunfal a Jerusalén (Juan 12.12-19)	JnAnim12.12-19.png	https://www.youtube.com/watch?v=NpShSXPDQuY&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=25
26	Jesús predice su muerte (Juan 12.20-36)	JnAnim12.20-36.png	https://www.youtube.com/watch?v=3cHONAEwbXc&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=26
27	Creyentes y no creyentes (Juan 12.37-50)	JnAnim12.37-50.png	https://www.youtube.com/watch?v=5Rtrc35S9Mc&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=27
28	Jesús lava los pies de los discipulos (Juan 13.1-17)	JnAnim13.01-17.png	https://www.youtube.com/watch?v=C_ifvJk6SY4&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=28
29	Jesús predice la traición (Juan 13.18-38)	JnAnim13.18-38.png	https://www.youtube.com/watch?v=yJMAHtgPWFA&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=29
30	El único camino a Dios (Juan 14.1-14)	JnAnim14.01-14.png	https://www.youtube.com/watch?v=4l_7LfVON1I&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=30
31	Jesús habla del Espíritu Santo (Juan 14.15-31)	JnAnim14.15-31.png	https://www.youtube.com/watch?v=_r_HEEzPQVc&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=31
32	La vid y las ramas (Juan 15.1-17)	JnAnim15.01-17.png	https://www.youtube.com/watch?v=zkzX6sMmwqs&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=32
33	Jesús advierte sobre la persecución (Juan 15.18-16.4)	JnAnim15.18-16.4.png	https://www.youtube.com/watch?v=tPPqdomoXhQ&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=33
34	Más enseñanza sobre el Espíritu Santo (Juan 16.5-33)	JnAnim16.05-33.png	https://www.youtube.com/watch?v=uY1Ia_uk9iQ&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=34
35	Jesús ora por sus seguidores (Juan 17.1-26)	JnAnim17.01-26.png	https://www.youtube.com/watch?v=Rp33gzCfeCU&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=35
36	Jesús traicionado y arrestado (Juan 18.1-14)	JnAnim18.01-14.png	https://www.youtube.com/watch?v=hM4ika9pmzY&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=36
37	Pedro niega conocer a Jesús y Anás pregunta a Jesús (Juan 18.15-27)	JnAnim18.15-27.png	https://www.youtube.com/watch?v=f0C03WydoFU&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=37
38	Pilato le pregunta a Jesús (Juan 18.28-40)	JnAnim18.28-40.png	https://www.youtube.com/watch?v=NJq3FtoMpBQ&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=38
39	Jesús condenado a muerte (Juan 19.1-16)	JnAnim19.01-16.png	https://www.youtube.com/watch?v=zTaCyueNX8Q&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=39
40	La crucifixion (Juan 19.16-37)	JnAnim19.16-37.png	https://www.youtube.com/watch?v=CyPn0rUsI3E&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=40
41	La resurrección (Juan 19.38-20.18)	JnAnim19.38-20.18.png	https://www.youtube.com/watch?v=rew8CNPayHA&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=41
42	Jesús se aparece a los discípulos (Juan 20.19-31)	JnAnim20.19-31.png	https://www.youtube.com/watch?v=vyJGRl07KNs&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=42
43	Jesús en el mar de Galilea (Juan 21.1-25)	JnAnim21.01-25.png	https://www.youtube.com/watch?v=QxRTNEy4FxQ&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=43
